domain	country	A	NS	CNAME	MX	TXT
iconcreativedesign.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
exceltips.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
icondecorators.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
icondesignsltd.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'icondesignsltd-uk.mail.protection.outlook.com', 'priority': 30}	v=spf1 include:spf.protection.outlook.com -all
excelturf.uk	DE	217.160.0.178	ns1027.ui-dns.com,ns1027.ui-dns.org,ns1027.ui-dns.de,ns1027.ui-dns.biz		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
iconeye.uk	GB	79.170.40.4	ns.mainnameserver.com,ns2.mainnameserver.com		{'exchange': 'mail.iconeye.uk', 'priority': 10}	
iconic-home.uk	GB	213.171.195.105	ns3.livedns.co.uk,ns2.livedns.co.uk,ns1.livedns.co.uk			
iconic-menswear.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
iconic20thcentury.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
iconicbride.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'alt2.aspmx.l.google.com', 'priority': 5},{'exchange': 'alt3.aspmx.l.google.com', 'priority': 10},{'exchange': 'alt4.aspmx.l.google.com', 'priority': 10},{'exchange': 'aspmx.l.google.com', 'priority': 1},{'exchange': 'alt1.aspmx.l.google.com', 'priority': 5}	google-site-verification=-tv5vL1gyPzWiWXYHm-Nct27P_U09_Rbm2cExfQD0ZI
iconicdestinationssolutions.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
iconicdrivertuition.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
iconicdrivingschool.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
iconicer.uk	GB	79.170.40.4	ns.heartinternet.uk,ns2.heartinternet.uk		{'exchange': 'mail.iconicer.uk', 'priority': 10}	
iconicity.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
iconicliving.uk	DE	217.160.0.205	ns-uk.1and1-dns.co.uk,ns-uk.1and1-dns.org,ns-uk.1and1-dns.biz,ns-uk.1and1-dns.com		{'exchange': 'mx01.1and1.co.uk', 'priority': 11},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
iconicphotogalleries.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
iconictaxiadvertising.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
iconicwindowcleaning.uk	GB	185.119.173.213	ns1.vidacloud.co.uk,ns2.vidacloud.co.uk		{'exchange': 'mail3.eqx.gridhost.co.uk', 'priority': 0}	
iconits.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
iconmedicalimaging.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
excelwealthmanagement.uk	GB	78.129.255.31	ns1.controldns.co.uk,ns2.controldns.co.uk		{'exchange': 'mail2.controldns.co.uk', 'priority': 30},{'exchange': 'mail.controldns.co.uk', 'priority': 10}	
excentrix.uk	GB	89.145.77.80	ns1.xssl.net,ns2.xssl.net		{'exchange': 'mx1.spamfiltering.com', 'priority': 10},{'exchange': 'mx2.spamfiltering.com', 'priority': 20}	v=spf1 include:servers.ebsnd.com ?all
exceptional-ron.uk	CA	167.114.21.248	dns2.stabletransit.com,dns1.stabletransit.com		{'exchange': 'mxb.mailgun.org', 'priority': 20},{'exchange': 'mxa.mailgun.org', 'priority': 10}	v=spf1 include:spf.drhinternet.net include:mailgun.org -all
exceptionalpropertymaintenance.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
excessbaggagegatwick.uk			ns2.domaindiscount24.net,ns3.domaindiscount24.net,ns1.domaindiscount24.net			
excessbaggageheathrow.uk			ns2.domaindiscount24.net,ns3.domaindiscount24.net,ns1.domaindiscount24.net			
excessenergycomms.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
excessluggage.uk	GB	62.233.121.5	ns2.namecity.com,ns1.namecity.com			
exchainstoreuk.uk	GB	62.233.121.61	ns1.namecity.com,ns2.namecity.com			
exchange-st.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
exchangeandmartcarsales.uk			ns2.ukdnsservers.co.uk,ns3.ukdnsservers.co.uk,ns4.ukdnsservers.co.uk,ns1.ukdnsservers.co.uk			
exchangecoins.uk	US	77.104.140.222	ns1094.ui-dns.de,ns1094.ui-dns.biz,ns1094.ui-dns.com,ns1094.ui-dns.org		{'exchange': 'exchangecoins.uk', 'priority': 10}	
exchangedatabaserepair.uk			ns4.monikerdns.net,ns3.monikerdns.net,ns1.monikerdns.net,ns2.monikerdns.net			
exchangeholidayhomes.uk	DE	217.160.230.243	ns1105.ui-dns.org,ns1105.ui-dns.com,ns1105.ui-dns.de,ns1105.ui-dns.biz		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
exchangemastering.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
exchangepartners.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
exchangeserverrecovery.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
exchangestreetclaims.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
exchangestreetlegal.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
exchangeyourpainting.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
excise.uk	US	104.27.156.215,104.27.157.215	brad.ns.cloudflare.com,sandy.ns.cloudflare.com			
excita.uk	GB	108.61.172.56	ns1.meganameservers.eu,ns2.meganameservers.eu,ns3.meganameservers.eu		{'exchange': 'mx2.emailsrvr.com', 'priority': 20},{'exchange': 'mx1.emailsrvr.com', 'priority': 10}	v=spf1 include:emailsrvr.com ~all
excitingteamevents.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
exciton.uk	DK	46.30.213.39	ns01.one.com,ns02.one.com		{'exchange': 'mx1.pub.mailpod6-cph3.one.com', 'priority': 10},{'exchange': 'mx2.pub.mailpod6-cph3.one.com', 'priority': 10},{'exchange': 'mx3.pub.mailpod6-cph3.one.com', 'priority': 10}	
exclin.uk	FR	213.186.33.5	ns106.ovh.net,dns106.ovh.net		{'exchange': 'redirect.ovh.net', 'priority': 1}	4|http://www.exclin.com
exclu.uk	GB	212.67.220.78	ns2.mainnameserver.com,ns.mainnameserver.com		{'exchange': 'mail.exclu.uk', 'priority': 10}	
exclusec.uk	NL	46.166.184.104,185.206.180.124	pns12.cloudns.net,pns11.cloudns.net,pns14.cloudns.net,ns11.cloudns.net		{'exchange': 'exclusec-uk.mail.protection.outlook.com', 'priority': 0}	MS=ms54872107
iconnectcctv.uk	GB	87.247.240.184	ns2.vidahost.com,ns1.vidahost.com		{'exchange': 'iconnectcctv.uk', 'priority': 0}	
iconquer.uk	GB	109.68.33.18	ns1.domainmonster.com,ns2.domainmonster.com,ns3.domainmonster.com		{'exchange': 'mx.emailconfig.com', 'priority': 1}	v=spf1 ip4:109.68.33.0/24 ~all
iconsofcountry.uk			ns1.easy-internet.co.uk,ns2.easy-internet.co.uk			
iconstudios.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
